rowname,total_isos,total_tis,total_sobbs,total_gims,total_pfq2s,total_mhi
total_isos,1,-0.028323555329083695,0.2777792369986779,0.5361464560121868,0.3304281434538555,-0.2523058141855463
total_tis,-0.028323555329083695,1,0.3247926651154338,0.057044143704940334,0.3482650322135294,-0.3268071849849015
total_sobbs,0.2777792369986779,0.3247926651154338,1,0.3102558496429086,0.45420363711158657,-0.3149259747807564
total_gims,0.5361464560121868,0.057044143704940334,0.3102558496429086,1,0.3591629059763574,-0.30187721179894417
total_pfq2s,0.3304281434538555,0.3482650322135294,0.45420363711158657,0.3591629059763574,1,-0.6378481445459072
total_mhi,-0.2523058141855463,-0.3268071849849015,-0.3149259747807564,-0.30187721179894417,-0.6378481445459072,1
