record_id,age,region,income,education,gender,saab,hormone,top_sex,bottom_sex,sex_orient,sex_attrac,sex_last_year,ethnic,isos_1,isos_2,isos_3,isos_4,isos_5,isos_6,isos_7,isos_8,isos_9,isos_10,isos_11,isos_12,isos_13,isos_14,isos_15,gims_1,gims_2,gims_3,gims_4,gims_5,gims_6,gims_7,gims_8,gims_9,gims_10,gims_11,gims_12,gims_13,gims_14,sobbs_1,sobbs_2,sobbs_3,sobbs_4,sobbs_5,sobbs_6,sobbs_7,sobbs_8,sobbs_9,sobbs_10,sobbs_11,sobbs_12,sobbs_13,sobbs_14,tis_1,tis_2,tis_3,tis_4,tis_5,tis_6,tis_7,tis_8,tis_9,tis_10,tis_11,tis_12,tis_13,tis_14,tis_15,tis_16,tis_17,tis_18,tis_19,tis_20,tis_21,tis_22,tis_23,tis_24,tis_25,tis_26,pfq2s_1,pfq2s_10,pfq2s_9,pfq2s_8,pfq2s_7,pfq2s_6,pfq2s_5,pfq2s_4,pfq2s_3,pfq2s_2,mhi_1,mhi_5,mhi_4,mhi_3,mhi_2,open_comment
663,28,Southeast,"$20,000 - $44,999",some college,trans_man,female,currently taking,have had,would like to in the future,heterosexual,cisgender women,cisgender women,Black / African American / Caribbean American,1,1,4,4,3,3,1,3,3,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,4,4,4,4,3,5,4,4,2,1,3,4,2,4,2,3,6,2,3,3,4,5,6,5,3,5,5,5,3,7,7,5,4,5,5,5,5,5,3,3,4,3,3,4,3,2,3,4,4,3,4,5,2,3,4,In the beginning when you ask about sexual partners wording female and male are problematic for some. I know for me they are. I'm with a transwomen which she is a women.
667,59,Southeast,"$20,000 - $44,999",some college,trans_man,female,currently taking,have had,have had,bi/pansexual,all genders,cisgender women,Black / African American / Caribbean American,1,1,3,3,3,2,1,3,2,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,4,4,4,4,1,5,5,5,1,4,3,4,4,5,1,1,7,6,7,6,1,5,6,7,7,7,1,7,6,6,6,5,4,7,5,7,5,7,4,1,3,3,2,2,2,2,2,2,5,2,3,3,4,3,5,Your survey showed errors (on the race question). It allows you to move on but people may not realize it.    You should not use the word transgender. It excludes a lot of people. Many won't take it. Maybe something like person of trans experience?
668,25,Rocky Mountains,"$20,000 - $44,999",bachelors degree,trans_man,female,currently taking,have had,unsure about the future,gay,cisgender men,cisgender men,White / European American,2,3,4,5,2,2,3,2,2,2,2,2,3,2,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,2,5,1,4,1,5,5,5,1,2,2,5,3,5,2,3,6,5,2,3,2,6,3,2,7,2,3,6,6,5,6,6,2,3,5,2,6,1,4,3,5,3,3,2,4,3,4,5,5,3,4,4,2,3,4,NA
670,25,East Coast,"$20,000 - $44,999",some college,trans_man,female,currently taking,have had,would like to in the future,heterosexual,cisgender women,cisgender women,Black / African American / Caribbean American,2,3,3,4,4,3,2,3,3,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,4,2,2,2,4,4,4,2,2,2,4,2,4,3,4,5,4,5,3,2,5,5,3,5,2,3,5,2,2,2,2,4,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,3,2,4,3,4,4,4,NA
674,24,Rocky Mountains,"less than $20,000",high school diploma / GED,trans_man,female,currently taking,would like to in the future,would like to in the future,gay,cisgender men,cisgender men,White / European American,2,4,4,4,3,4,2,4,4,2,4,4,2,4,3,1,1,1,0,1,1,1,1,0,0,0,0,0,0,2,4,2,4,2,4,4,4,2,3,2,3,2,4,3,2,6,6,4,5,2,6,5,3,5,4,5,6,5,6,4,6,3,5,3,4,6,4,3,4,5,4,3,3,4,4,3,4,5,4,5,5,2,2,3,"Thanks for doing these kinds of surveys, i hope the help"
675,24,Southwest,"$20,000 - $44,999",bachelors degree,trans_man,female,currently taking,would like to in the future,would like to in the future,bi/pansexual,all genders,all genders,Multiethnic,2,2,4,4,4,4,2,4,5,3,4,3,3,3,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,4,2,4,1,5,5,5,1,1,1,5,1,5,1,2,5,4,7,5,3,5,5,5,7,1,5,3,5,3,7,5,4,7,6,7,3,7,5,2,4,4,3,3,3,2,5,5,4,5,6,5,1,1,1,I hope this information helps provide more insight to our community
680,24,Southeast,"$20,000 - $44,999",bachelors degree,trans_man,female,currently taking,have had,unsure about the future,bi/pansexual,all genders,all genders,Multiethnic,1,2,3,3,2,2,2,3,1,2,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2,3,4,2,4,4,3,1,2,2,3,1,3,3,4,6,2,6,1,4,4,5,3,4,4,5,4,2,1,1,1,4,5,1,3,5,3,1,6,3,2,4,2,4,2,2,2,5,2,5,5,4,3,3,Remove transman & transwoman. The correct way is trans man & trans woman. There's a negative connotation with the former.
684,25,Midwest,"$45,000 - $139,999",graduate school,trans_man,female,currently taking,do not plan to in the future,do not plan to in the future,asexual,no sex attrac,no sex attrac,Multiethnic,3,3,4,4,3,2,2,3,2,2,2,3,3,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,2,2,2,2,2,2,3,2,1,2,4,2,2,7,5,5,3,2,2,4,2,5,4,4,5,4,3,4,3,4,3,6,4,3,3,4,2,5,6,2,1,2,2,2,1,2,2,2,2,2,3,4,5,5,"I'm a researcher on trans issues too, this was such a great thing to see and help out with by taking it :) You guys honestly have the best consent form I've ever seen as well."
693,20,Rocky Mountains,"less than $20,000",bachelors degree,trans_man,female,currently taking,have had,would like to in the future,gay,cisgender men,cisgender men,White / European American,1,1,4,4,1,1,2,3,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,5,2,5,4,4,1,2,4,4,NA,NA,1,1,7,6,7,1,1,6,7,7,7,1,7,7,6,6,7,7,1,6,4,7,7,6,1,1,4,3,3,3,4,3,3,3,5,2,3,4,2,4,5,"I'm not gender nonconforming and there was a whole group of questions that were specifically about people reacting to the gender nonconformity of the person taking the survey. As a cis passing, binary, gender conforming, transsexual man, that whole section didn't apply to me at all and was really weird to try to answer. I am seven years into my transition and I have been passing as a male for nearly that entire time. Not all trans people are gender nonconforming so you need to consider some kind of a ""does not apply"" option for those of us who are binary, cis passing, and gender conforming. Assuming that all trans people are gender nonconforming in some way, or that we universally do not pass as the gender we live as, is not only an entirely false assumption, but it'll definitely skew your data toward a certain, small part of the trans community and exclude the majority of trans people who, like me, are binary, cis passing, and gender conforming."
694,19,East Coast,NA,some college,trans_man,female,currently taking,would like to in the future,unsure about the future,bi/pansexual,cisgender m&w,cisgender men,White / European American,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,5,5,2,4,1,5,5,5,1,4,2,3,1,5,6,5,7,6,2,5,1,5,7,2,6,5,4,5,3,6,6,6,5,6,7,2,7,2,6,3,4,2,2,1,3,1,2,4,3,1,2,3,3,4,5,NA
701,19,Midwest,"$20,000 - $44,999",high school diploma / GED,trans_man,female,currently taking,would like to in the future,unsure about the future,bi/pansexual,cisgender m&w,cisgender men,White / European American,3,3,4,4,2,3,3,3,2,2,2,3,2,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,0,2,5,2,5,2,5,5,5,2,2,2,4,2,5,1,3,6,5,5,2,2,3,5,5,7,2,6,5,5,5,6,6,3,6,6,5,5,1,2,3,4,3,4,4,4,5,3,3,5,3,3,5,2,4,6,NA
705,22,East Coast,"less than $20,000",bachelors degree,trans_man,female,plan to take in the future,would like to in the future,would like to in the future,bi/pansexual,all genders,all genders,White / European American,2,1,4,3,1,1,2,2,2,2,1,1,1,1,3,1,1,1,1,1,1,0,1,1,0,0,0,1,1,2,4,4,5,2,4,5,5,1,2,2,4,2,5,2,5,6,6,5,3,3,6,6,6,7,3,5,6,5,7,7,7,3,6,6,5,7,2,5,4,5,3,3,2,4,2,2,5,5,3,4,4,3,2,3,NA
706,21,Southeast,"less than $20,000",high school or less,trans_man,female,unsure about the future,would like to in the future,unsure about the future,bi/pansexual,all genders,cisgender m&w,White / European American,3,3,4,4,3,3,2,2,4,1,2,2,4,2,2,1,1,1,0,1,1,1,0,0,1,0,0,1,0,2,2,2,2,1,4,3,2,2,1,1,2,1,1,5,5,6,2,6,2,6,3,2,3,1,3,2,4,6,6,3,5,6,3,1,5,4,5,6,4,4,3,4,5,4,3,2,5,4,4,5,6,2,2,2,NA
708,21,Southeast,"$20,000 - $44,999",some college,trans_man,female,currently taking,would like to in the future,do not plan to in the future,gay,cisgender m&w,cisgender m&w,White / European American,1,2,5,2,1,1,1,3,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,3,5,5,5,4,5,5,5,2,1,3,5,2,5,7,6,3,2,4,7,6,3,7,3,5,7,7,3,2,1,4,1,7,6,6,6,1,4,6,6,5,5,5,4,5,4,4,5,5,NA,4,5,1,2,3,NA
715,23,East Coast,"less than $20,000",bachelors degree,trans_man,female,unsure about the future,would like to in the future,do not plan to in the future,gay,cisgender men,cisgender men,White / European American,1,3,4,3,1,1,1,1,1,1,1,2,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,3,4,2,4,3,5,5,5,4,3,2,4,2,5,5,5,5,1,5,6,6,3,7,5,5,5,7,2,1,6,6,5,4,5,6,7,1,4,5,5,3,4,4,2,3,2,2,4,5,3,2,4,4,3,5,NA
721,21,East Coast,"less than $20,000",some college,trans_man,female,currently taking,would like to in the future,would like to in the future,bi/pansexual,all genders,all genders,White / European American,2,3,4,3,2,1,1,3,1,2,1,2,2,3,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,3,5,3,5,3,5,5,5,1,3,2,5,2,5,1,4,5,5,4,4,1,5,7,4,5,1,7,5,5,7,4,5,4,6,7,6,7,1,2,4,4,4,4,2,4,3,3,3,5,3,5,5,2,2,2,NA
725,22,Southeast,"less than $20,000",some college,trans_man,female,currently taking,would like to in the future,would like to in the future,bi/pansexual,all genders,all genders,White / European American,3,3,4,4,4,4,3,4,3,4,3,4,4,3,3,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,5,3,5,4,5,5,5,5,2,3,5,5,5,1,1,6,7,5,2,4,6,5,1,6,1,1,5,7,1,7,7,7,1,1,5,5,3,5,7,4,4,4,5,4,4,5,5,5,5,4,5,1,2,2,NA
731,22,West Coast,"$20,000 - $44,999",high school diploma / GED,trans_man,female,currently taking,have had,would like to in the future,bi/pansexual,all genders,cisgender m&w,White / European American,2,1,3,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,2,5,2,5,2,5,5,5,5,4,1,5,4,5,1,3,7,5,7,2,1,6,7,3,6,1,5,6,NA,7,7,7,3,6,6,7,7,4,3,7,5,3,5,4,2,1,3,3,4,4,4,4,3,5,4,Thanks for the survey my dude. Lemme know when the results are posted or whatever
740,35,Southeast,"less than $20,000",some college,trans_man,female,currently taking,would like to in the future,do not plan to in the future,asexual,cisgender men,no sex attrac,White / European American,2,3,4,4,3,3,1,3,2,2,2,3,3,3,3,1,1,1,1,1,1,0,1,0,0,0,0,1,1,2,4,2,4,2,4,4,4,2,2,3,4,3,5,5,4,5,5,4,4,4,4,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,4,5,4,3,2,2,3,1,1,2,2,4,2,3,4,4,5,5,NA
