rowname,total_isos,total_gims,total_sobbs,total_tis,total_pfq2s,total_mhi
total_isos,1,0.5290311937463102,0.3229179287827584,0.014649690137556888,0.33229860523250243,-0.2712889627636819
total_gims,0.5290311937463102,1,0.3600669230750609,0.097843488416122,0.36133314559380425,-0.31696453376285166
total_sobbs,0.3229179287827584,0.3600669230750609,1,0.3279173893875062,0.500108814424195,-0.3535267266786467
total_tis,0.014649690137556888,0.097843488416122,0.3279173893875062,1,0.4680773132769241,-0.45917276390721845
total_pfq2s,0.33229860523250243,0.36133314559380425,0.500108814424195,0.4680773132769241,1,-0.6634811102847994
total_mhi,-0.2712889627636819,-0.31696453376285166,-0.3535267266786467,-0.45917276390721845,-0.6634811102847994,1
